id,name
Spike Lee,Spike Lee
Aditya Chopra,Aditya Chopra
James Cameron,James Cameron
Antoine Fuqua,Antoine Fuqua
Jules Dassin,Jules Dassin
Lasse Hallström,Lasse Hallström
John Landis,John Landis
Guy Hamilton,Guy Hamilton
John Sturges,John Sturges
Aaron Sorkin,Aaron Sorkin
Susanne Bier,Susanne Bier
Kevin Smith,Kevin Smith
Leo McCarey,Leo McCarey
Gore Verbinski,Gore Verbinski
Robert Redford,Robert Redford
Richard Marquand,Richard Marquand
Anurag Basu,Anurag Basu
Tomas Alfredson,Tomas Alfredson
James Algar,James Algar
Todd Phillips,Todd Phillips
Tigmanshu Dhulia,Tigmanshu Dhulia
Frank Capra,Frank Capra
Shane Meadows,Shane Meadows
Byron Howard,Byron Howard
Sam Wood,Sam Wood
Alan Parker,Alan Parker
Doug Liman,Doug Liman
Morten Tyldum,Morten Tyldum
Sudha Kongara,Sudha Kongara
Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck
Bernardo Bertolucci,Bernardo Bertolucci
David Lean,David Lean
Stephen Chbosky,Stephen Chbosky
Farhan Akhtar,Farhan Akhtar
Sujoy Ghosh,Sujoy Ghosh
Paul Haggis,Paul Haggis
Yasujirô Ozu,Yasujirô Ozu
Thomas Vinterberg,Thomas Vinterberg
Mamoru Oshii,Mamoru Oshii
David Yates,David Yates
Sidney Lumet,Sidney Lumet
Sylvain Chomet,Sylvain Chomet
John G. Avildsen,John G. Avildsen
Ernst Lubitsch,Ernst Lubitsch
Carl Theodor Dreyer,Carl Theodor Dreyer
Martin Scorsese,Martin Scorsese
Elia Kazan,Elia Kazan
Bennett Miller,Bennett Miller
Curtis Hanson,Curtis Hanson
Zack Snyder,Zack Snyder
Stephen Chow,Stephen Chow
Niels Arden Oplev,Niels Arden Oplev
Cristian Mungiu,Cristian Mungiu
Rob Reiner,Rob Reiner
Jean-Pierre Jeunet,Jean-Pierre Jeunet
Aamir Khan,Aamir Khan
Shimit Amin,Shimit Amin
John McTiernan,John McTiernan
Roman Polanski,Roman Polanski
Carol Reed,Carol Reed
Lewis Milestone,Lewis Milestone
Darren Aronofsky,Darren Aronofsky
Marc Forster,Marc Forster
Robert Clouse,Robert Clouse
Martin Rosen,Martin Rosen
Olivier Nakache,Olivier Nakache
Trey Parker,Trey Parker
Charlie Kaufman,Charlie Kaufman
Ramesh Sippy,Ramesh Sippy
Frank Darabont,Frank Darabont
Brad Anderson,Brad Anderson
John Huston,John Huston
Francis Ford Coppola,Francis Ford Coppola
Robert Benton,Robert Benton
Ericson Core,Ericson Core
Jonathan Dayton,Jonathan Dayton
Neeraj Pandey,Neeraj Pandey
Yilmaz Erdogan,Yilmaz Erdogan
Robert Wise,Robert Wise
Ron Howard,Ron Howard
Woody Allen,Woody Allen
Martin Brest,Martin Brest
Bob Persichetti,Bob Persichetti
Hiromasa Yonebayashi,Hiromasa Yonebayashi
Pierre Coffin,Pierre Coffin
Levent Semerci,Levent Semerci
James Mangold,James Mangold
Dennis Gansel,Dennis Gansel
Terry Gilliam,Terry Gilliam
Isao Takahata,Isao Takahata
Kinji Fukasaku,Kinji Fukasaku
Bruce Robinson,Bruce Robinson
Asghar Farhadi,Asghar Farhadi
Emir Kusturica,Emir Kusturica
Peter Bogdanovich,Peter Bogdanovich
Terence Young,Terence Young
Terrence Malick,Terrence Malick
Travis Knight,Travis Knight
Penny Marshall,Penny Marshall
David Mackenzie,David Mackenzie
Tony Bancroft,Tony Bancroft
Martin McDonagh,Martin McDonagh
Cary Joji Fukunaga,Cary Joji Fukunaga
Pete Docter,Pete Docter
David Ayer,David Ayer
Guillermo del Toro,Guillermo del Toro
Amit Ravindernath Sharma,Amit Ravindernath Sharma
Darius Marder,Darius Marder
Michael Mann,Michael Mann
Fritz Lang,Fritz Lang
Guy Ritchie,Guy Ritchie
Mark Herman,Mark Herman
Michael Cimino,Michael Cimino
Gregory Hoblit,Gregory Hoblit
Robert Zemeckis,Robert Zemeckis
Frank Miller,Frank Miller
Sanjay Leela Bhansali,Sanjay Leela Bhansali
George Roy Hill,George Roy Hill
Martin Campbell,Martin Campbell
Roland Joffé,Roland Joffé
Tom Tykwer,Tom Tykwer
Jessie Nelson,Jessie Nelson
Kevin Reynolds,Kevin Reynolds
Nicholas Ray,Nicholas Ray
Tom Hooper,Tom Hooper
Jee-woon Kim,Jee-woon Kim
George Stevens,George Stevens
J. Lee Thompson,J. Lee Thompson
James McTeigue,James McTeigue
Dan Gilroy,Dan Gilroy
J.J. Abrams,J.J. Abrams
Raja Menon,Raja Menon
Robert De Niro,Robert De Niro
Yann Samuell,Yann Samuell
Don Hall,Don Hall
Franklin J. Schaffner,Franklin J. Schaffner
Lenny Abrahamson,Lenny Abrahamson
Ang Lee,Ang Lee
Otto Preminger,Otto Preminger
Arthur Penn,Arthur Penn
Mike Judge,Mike Judge
Kabir Khan,Kabir Khan
Danis Tanovic,Danis Tanovic
Fatih Akin,Fatih Akin
Kaige Chen,Kaige Chen
Todd Haynes,Todd Haynes
Milos Forman,Milos Forman
Nuri Bilge Ceylan,Nuri Bilge Ceylan
Hrishikesh Mukherjee,Hrishikesh Mukherjee
Irvin Kershner,Irvin Kershner
Jae-young Kwak,Jae-young Kwak
Damián Szifron,Damián Szifron
Fabián Bielinsky,Fabián Bielinsky
James Simone,James Simone
Nitesh Tiwari,Nitesh Tiwari
Ken Annakin,Ken Annakin
Richard Kelly,Richard Kelly
Philip Kaufman,Philip Kaufman
Edgar Wright,Edgar Wright
Victor Fleming,Victor Fleming
George P. Cosmatos,George P. Cosmatos
Jean Renoir,Jean Renoir
Peter Jackson,Peter Jackson
Priyadarshan,Priyadarshan
George Miller,George Miller
Mary Harron,Mary Harron
Daniel Monzón,Daniel Monzón
Shoojit Sircar,Shoojit Sircar
Masaki Kobayashi,Masaki Kobayashi
Paul McGuigan,Paul McGuigan
Lars von Trier,Lars von Trier
Zaza Urushadze,Zaza Urushadze
Hong-jin Na,Hong-jin Na
Peter Mullan,Peter Mullan
Hirokazu Koreeda,Hirokazu Koreeda
Wim Wenders,Wim Wenders
Cecil B. DeMille,Cecil B. DeMille
Tod Browning,Tod Browning
Charles Laughton,Charles Laughton
Gregg Araki,Gregg Araki
Howard Hawks,Howard Hawks
Wolfgang Becker,Wolfgang Becker
Cy Endfield,Cy Endfield
Henri-Georges Clouzot,Henri-Georges Clouzot
John Cameron Mitchell,John Cameron Mitchell
Vishal Bhardwaj,Vishal Bhardwaj
Ryan Coogler,Ryan Coogler
Richard Lester,Richard Lester
Gavin O'Connor,Gavin O'Connor
Werner Herzog,Werner Herzog
Matt Ross,Matt Ross
Robert Mulligan,Robert Mulligan
Hal Ashby,Hal Ashby
Norman Jewison,Norman Jewison
Brian G. Hutton,Brian G. Hutton
James Ivory,James Ivory
Richard Attenborough,Richard Attenborough
Charles Chaplin,Charles Chaplin
Sergio Pablos,Sergio Pablos
Anthony Harvey,Anthony Harvey
Alex Garland,Alex Garland
James L. Brooks,James L. Brooks
Josh Cooley,Josh Cooley
Spike Jonze,Spike Jonze
Matt Reeves,Matt Reeves
Paolo Sorrentino,Paolo Sorrentino
Anton Corbijn,Anton Corbijn
John Woo,John Woo
Greta Gerwig,Greta Gerwig
Rian Johnson,Rian Johnson
Roberto Benigni,Roberto Benigni
Lukas Moodysson,Lukas Moodysson
John Boorman,John Boorman
Sergei M. Eisenstein,Sergei M. Eisenstein
Zoya Akhtar,Zoya Akhtar
Martin Zandvliet,Martin Zandvliet
John Lasseter,John Lasseter
Sam Raimi,Sam Raimi
Shûsuke Kaneko,Shûsuke Kaneko
Ben Affleck,Ben Affleck
Joseph Sargent,Joseph Sargent
Gary Trousdale,Gary Trousdale
Joel Coen,Joel Coen
Paul Greengrass,Paul Greengrass
Hayao Miyazaki,Hayao Miyazaki
Jean-Jacques Annaud,Jean-Jacques Annaud
Je-kyu Kang,Je-kyu Kang
Mark Osborne,Mark Osborne
Bong Joon Ho,Bong Joon Ho
James Marsh,James Marsh
Stanley Donen,Stanley Donen
Jeethu Joseph,Jeethu Joseph
José Padilha,José Padilha
Anthony Russo,Anthony Russo
Michael Haneke,Michael Haneke
Tomm Moore,Tomm Moore
Christian Carion,Christian Carion
Duncan Jones,Duncan Jones
Mark Rydell,Mark Rydell
Jean-Luc Godard,Jean-Luc Godard
Christopher Nolan,Christopher Nolan
Mel Gibson,Mel Gibson
Krzysztof Kieslowski,Krzysztof Kieslowski
Wolfgang Reitherman,Wolfgang Reitherman
Mel Brooks,Mel Brooks
Clyde Bruckman,Clyde Bruckman
Richard Linklater,Richard Linklater
Mike Newell,Mike Newell
Ethan Coen,Ethan Coen
David Mickey Evans,David Mickey Evans
David Cronenberg,David Cronenberg
Chris Columbus,Chris Columbus
Dorota Kobiela,Dorota Kobiela
Can Ulkay,Can Ulkay
Jonathan Levine,Jonathan Levine
Chan-wook Park,Chan-wook Park
James Foley,James Foley
Ömer Faruk Sorak,Ömer Faruk Sorak
David Zucker,David Zucker
James Gunn,James Gunn
Sergio Leone,Sergio Leone
Wolfgang Petersen,Wolfgang Petersen
Robert Aldrich,Robert Aldrich
Paul King,Paul King
Alejandro G. Iñárritu,Alejandro G. Iñárritu
Olivier Dahan,Olivier Dahan
George Sluizer,George Sluizer
Nikkhil Advani,Nikkhil Advani
Ashutosh Gowariker,Ashutosh Gowariker
Tarsem Singh,Tarsem Singh
Katsuhiro Ôtomo,Katsuhiro Ôtomo
Steve McQueen,Steve McQueen
Pierre Morel,Pierre Morel
Jordan Peele,Jordan Peele
Tyler Nilson,Tyler Nilson
Ron Clements,Ron Clements
Sam Mendes,Sam Mendes
Yôjirô Takita,Yôjirô Takita
Taylor Sheridan,Taylor Sheridan
Ruben Fleischer,Ruben Fleischer
David Leitch,David Leitch
W.S. Van Dyke,W.S. Van Dyke
Buster Keaton,Buster Keaton
David Lynch,David Lynch
Christophe Barratier,Christophe Barratier
Jacques Tourneur,Jacques Tourneur
Marc Caro,Marc Caro
Lee Tamahori,Lee Tamahori
Orson Welles,Orson Welles
Andrew Davis,Andrew Davis
Ritesh Batra,Ritesh Batra
Wilson Yip,Wilson Yip
Thomas Kail,Thomas Kail
Gayatri,Gayatri
Neil Burger,Neil Burger
Dean DeBlois,Dean DeBlois
Jeong-beom Lee,Jeong-beom Lee
Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra
Oriol Paulo,Oriol Paulo
Federico Fellini,Federico Fellini
Kevin Altieri,Kevin Altieri
Damien Chazelle,Damien Chazelle
Ivan Reitman,Ivan Reitman
James Wan,James Wan
Jon Avnet,Jon Avnet
Neill Blomkamp,Neill Blomkamp
Alfred Hitchcock,Alfred Hitchcock
Thomas Jahn,Thomas Jahn
John Singleton,John Singleton
Michael Radford,Michael Radford
Garth Davis,Garth Davis
Bob Clark,Bob Clark
Jim Abrahams,Jim Abrahams
Gillo Pontecorvo,Gillo Pontecorvo
Barry Levinson,Barry Levinson
Andrew Niccol,Andrew Niccol
Makoto Shinkai,Makoto Shinkai
Céline Sciamma,Céline Sciamma
Josh Boone,Josh Boone
Richard Donner,Richard Donner
Brad Bird,Brad Bird
William Friedkin,William Friedkin
Raoul Walsh,Raoul Walsh
Ken Loach,Ken Loach
Çagan Irmak,Çagan Irmak
Peter Weir,Peter Weir
Kenneth Branagh,Kenneth Branagh
Bob Gale,Bob Gale
Alejandro Jodorowsky,Alejandro Jodorowsky
Gene Saks,Gene Saks
Jon Favreau,Jon Favreau
Clint Eastwood,Clint Eastwood
Jack Clayton,Jack Clayton
Yoshiaki Kawajiri,Yoshiaki Kawajiri
Michael Curtiz,Michael Curtiz
Terry Jones,Terry Jones
Giuseppe Tornatore,Giuseppe Tornatore
Michel Gondry,Michel Gondry
Stanley Kramer,Stanley Kramer
Brian Henson,Brian Henson
M. Night Shyamalan,M. Night Shyamalan
Denis Villeneuve,Denis Villeneuve
Richard Curtis,Richard Curtis
Brian De Palma,Brian De Palma
Tony Scott,Tony Scott
Matthew Warchus,Matthew Warchus
Luis Buñuel,Luis Buñuel
Merian C. Cooper,Merian C. Cooper
Billy Wilder,Billy Wilder
Akira Kurosawa,Akira Kurosawa
Ronny Yu,Ronny Yu
Taylor Hackford,Taylor Hackford
Charles Vidor,Charles Vidor
Alex Proyas,Alex Proyas
Oliver Stone,Oliver Stone
Nicholas Meyer,Nicholas Meyer
Hideaki Anno,Hideaki Anno
John Ford,John Ford
S.S. Rajamouli,S.S. Rajamouli
Kevin Costner,Kevin Costner
Henry Koster,Henry Koster
Cameron Crowe,Cameron Crowe
Mamoru Hosoda,Mamoru Hosoda
Paul Verhoeven,Paul Verhoeven
Roger Allers,Roger Allers
