id,Movie_Name,Released_Year,Run_time,IMDB_Rating,Description,Gross_USD,Director
Kimi no na wa.,Kimi no na wa.,2016,106,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",5017246,Makoto Shinkai
Dangal,Dangal,2016,161,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,12391761,Nitesh Tiwari
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",190241310,Bob Persichetti
Avengers: Endgame,Avengers: Endgame,2019,181,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",858373000,Anthony Russo
Avengers: Infinity War,Avengers: Infinity War,2018,149,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,678815482,Anthony Russo
Coco,Coco,2017,105,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",209726015,Lee Unkrich
Django Unchained,Django Unchained,2012,165,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",162805434,Quentin Tarantino
The Dark Knight Rises,The Dark Knight Rises,2012,164,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",448139099,Christopher Nolan
3 Idiots,3 Idiots,2009,170,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",6532908,Rajkumar Hirani
Taare Zameen Par,Taare Zameen Par,2007,165,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",1223869,Aamir Khan
WALL·E,WALL·E,2008,98,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",223808164,Andrew Stanton
The Lives of Others,The Lives of Others,2006,137,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",11286112,Florian Henckel von Donnersmarck
Oldeuboi,Oldeuboi,2003,101,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",707481,Chan-wook Park
Memento,Memento,2000,113,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,25544867,Christopher Nolan
Mononoke-hime,Mononoke-hime,1997,134,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",2375308,Hayao Miyazaki
Once Upon a Time in America,Once Upon a Time in America,1984,229,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",5321508,Sergio Leone
Raiders of the Lost Ark,Raiders of the Lost Ark,1981,115,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",248159971,Steven Spielberg
The Shining,The Shining,1980,146,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",44017374,Stanley Kubrick
Apocalypse Now,Apocalypse Now,1979,147,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,83471511,Francis Ford Coppola
Alien,Alien,1979,117,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",78900000,Ridley Scott
Anand,Anand,1971,122,8.4,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",,Hrishikesh Mukherjee
Tengoku to jigoku,Tengoku to jigoku,1963,143,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,,Akira Kurosawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,275902,Stanley Kubrick
Witness for the Prosecution,Witness for the Prosecution,1957,116,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,8175000,Billy Wilder
Paths of Glory,Paths of Glory,1957,88,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",,Stanley Kubrick
Rear Window,Rear Window,1954,112,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,36764313,Alfred Hitchcock
Sunset Blvd.,Sunset Blvd.,1950,110,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,,Billy Wilder
The Great Dictator,The Great Dictator,1940,125,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,288475,Charles Chaplin
1917,1917,2019,119,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",159227644,Sam Mendes
Tumbbad,Tumbbad,2018,104,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,,Rahi Anil Barve
Andhadhun,Andhadhun,2018,139,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",1373943,Sriram Raghavan
Drishyam 2013,Drishyam,2013,160,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,,Jeethu Joseph
Jagten,Jagten,2012,115,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",687185,Thomas Vinterberg
Jodaeiye Nader az Simin,Jodaeiye Nader az Simin,2011,123,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,7098492,Asghar Farhadi
Incendies,Incendies,2010,131,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,6857096,Denis Villeneuve
Miracle in cell NO.7,Miracle in cell NO.7,2019,132,8.3,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,,Mehmet Ada Öztekin
Babam ve Oglum,Babam ve Oglum,2005,112,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,,Çagan Irmak
Inglourious Basterds,Inglourious Basterds,2009,153,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",120540719,Quentin Tarantino
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,108,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",34400301,Michel Gondry
Amélie,Amélie,2001,122,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",33225499,Jean-Pierre Jeunet
Snatch,Snatch,2000,104,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",30328156,Guy Ritchie
Requiem for a Dream,Requiem for a Dream,2000,102,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,3635482,Darren Aronofsky
American Beauty,American Beauty,1999,122,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,130096601,Sam Mendes
Good Will Hunting,Good Will Hunting,1997,126,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",138433435,Gus Van Sant
Bacheha-Ye aseman,Bacheha-Ye aseman,1997,89,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",933933,Majid Majidi
Toy Story,Toy Story,1995,81,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,191796233,John Lasseter
Braveheart,Braveheart,1995,178,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,75600000,Mel Gibson
Reservoir Dogs,Reservoir Dogs,1992,99,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",2832029,Quentin Tarantino
Full Metal Jacket,Full Metal Jacket,1987,116,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,46357676,Stanley Kubrick
Idi i smotri,Idi i smotri,1985,142,8.3,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",,Elem Klimov
Aliens,Aliens,1986,137,8.3,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",85160248,James Cameron
Amadeus,Amadeus,1984,160,8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",51973029,Milos Forman
Scarface,Scarface,1983,170,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",45598982,Brian De Palma
Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",309125409,Richard Marquand
Das Boot,Das Boot,1981,149,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",11487676,Wolfgang Petersen
Taxi Driver,Taxi Driver,1976,114,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",28262574,Martin Scorsese
The Sting,The Sting,1973,129,8.3,Two grifters team up to pull off the ultimate con.,159600000,George Roy Hill
A Clockwork Orange,A Clockwork Orange,1971,136,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",6207725,Stanley Kubrick
2001: A Space Odyssey,2001: A Space Odyssey,1968,149,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",56954992,Stanley Kubrick
Per qualche dollaro in più,Per qualche dollaro in più,1965,132,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,15000000,Sergio Leone
Lawrence of Arabia,Lawrence of Arabia,1962,228,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",44824144,David Lean
The Apartment,The Apartment,1960,125,8.3,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",18600000,Billy Wilder
North by Northwest,North by Northwest,1959,136,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,13275000,Alfred Hitchcock
Vertigo,Vertigo,1958,128,8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,3200000,Alfred Hitchcock
Singin' in the Rain,Singin' in the Rain,1952,103,8.3,A silent film production company and cast make a difficult transition to sound.,8819028,Stanley Donen
Ikiru,Ikiru,1952,143,8.3,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,55240,Akira Kurosawa
Ladri di biciclette,Ladri di biciclette,1948,89,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",332930,Vittorio De Sica
Double Indemnity,Double Indemnity,1944,107,8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,5720000,Billy Wilder
Citizen Kane,Citizen Kane,1941,119,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",1585634,Orson Welles
M - Eine Stadt sucht einen Mörder,M - Eine Stadt sucht einen Mörder,1931,117,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",28877,Fritz Lang
Metropolis,Metropolis,1927,153,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",1236166,Fritz Lang
The Kid,The Kid,1921,68,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",5450000,Charles Chaplin
Chhichhore,Chhichhore,2019,143,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",898575,Nitesh Tiwari
Uri: The Surgical Strike,Uri: The Surgical Strike,2018,138,8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",4186168,Aditya Dhar
K.G.F: Chapter 1,K.G.F: Chapter 1,2018,156,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",,Prashanth Neel
Green Book,Green Book,2018,130,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,85080171,Peter Farrelly
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,115,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,54513740,Martin McDonagh
Talvar,Talvar,2015,132,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,342370,Meghna Gulzar
Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,2017,167,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",20186659,S.S. Rajamouli
Klaus,Klaus,2019,96,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",,Sergio Pablos
Drishyam 2015,Drishyam,2015,163,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",739478,Nishikant Kamat
Queen,Queen,2013,146,8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,1429534,Vikas Bahl
Mandariinid,Mandariinid,2013,87,8.2,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",144501,Zaza Urushadze
Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,2013,186,8.2,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,1626289,Rakeysh Omprakash Mehra
Gangs of Wasseypur,Gangs of Wasseypur,2012,321,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",,Anurag Kashyap
Udaan,Udaan,2010,134,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",7461,Vikramaditya Motwane
Paan Singh Tomar,Paan Singh Tomar,2012,135,8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",39567,Tigmanshu Dhulia
El secreto de sus ojos,El secreto de sus ojos,2009,129,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,6391436,Juan José Campanella
Warrior,Warrior,2011,140,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",13657115,Gavin O'Connor
Shutter Island,Shutter Island,2010,138,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",128012934,Martin Scorsese
Up,Up,2009,96,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",293004164,Pete Docter
The Wolf of Wall Street,The Wolf of Wall Street,2013,180,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",116900694,Martin Scorsese
Chak De! India,Chak De! India,2007,153,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,1113541,Shimit Amin
There Will Be Blood,There Will Be Blood,2007,158,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",40222514,Paul Thomas Anderson
Pan's Labyrinth,Pan's Labyrinth,2006,118,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",37634615,Guillermo del Toro
