"key","startTime","externalId","subtype","Sum Resv Qty","assetExternalIds","Sum of avl stk","endTime","Shipment no.","isDeleted","PO1 Plan dt","Container no.","Material Availability Offshore","Reqmt Qty","OrderKey","description","Dlv qty cum","Material","Material Availability Onshore","RealisticStartDt","type"
"MATERIAL_11333046_5","1679052226464","MATERIAL_11333046_5","11333046","4","[""23-YT-96117-02""]","2","1679052226464","38642","false","2023-05-18T11:23:46.464Z","30919","Green","5","11333046","Materials for 11333046","3","28943","Green","2023-05-18T11:23:46.464Z","Material"
"MATERIAL_11614471_3","1679052226473","MATERIAL_11614471_3","11614471","4","[""23-LALL-92523""]","6","1679052226473","21337","false","2023-03-30T11:23:46.473Z","11054","Green","5","11614471","Materials for 11614471","7","11929","Green","2023-03-30T11:23:46.473Z","Material"
"MATERIAL_11614471_5","1679052226473","MATERIAL_11614471_5","11614471","2","[""23-LALL-92523""]","","1679052226473","","false","2023-03-30T11:23:46.473Z","","Orange","3","11614471","Materials for 11614471","","25904","Orange","2023-03-30T11:23:46.473Z","Material"
"MATERIAL_11662725_5","1679052226463","MATERIAL_11662725_5","11662725","4","[""23-XS-96139""]","1","1679052226463","35868","false","2023-05-05T11:23:46.463Z","28284","Green","5","11662725","Materials for 11662725","2","18360","Green","2023-05-05T11:23:46.463Z","Material"
"MATERIAL_11667611_0","1679052226465","MATERIAL_11667611_0","11667611","3","[""23-ZAHH-96121-01""]","2","1679052226468","21207","false","2023-05-23T11:23:46.465Z","26805","Green","4","11667611","Materials for 11667611","3","31741","Green","2023-05-23T11:23:46.465Z","Material"
"MATERIAL_11667611_3","1679052226468","MATERIAL_11667611_3","11667611","5","[""23-ZAHH-96121-01""]","4","1679052226468","39753","false","2023-05-23T11:23:46.465Z","14627","Green","6","11667611","Materials for 11667611","5","34008","Green","2023-05-23T11:23:46.465Z","Material"
"MATERIAL_11689957_1","1679052226480","MATERIAL_11689957_1","11689957","3","[""23-XY-92538-02""]","7","1679052226480","20295","false","2023-03-27T11:23:46.480Z","20001","Green","4","11689957","Materials for 11689957","8","21049","Green","2023-03-27T11:23:46.480Z","Material"
"MATERIAL_11724274_0","1679052226415","MATERIAL_11724274_0","11724274","5","[""23-FO-96188""]","7","1679052226415","22282","false","2023-05-02T11:23:46.415Z","16497","Green","6","11724274","Materials for 11724274","8","23840","Green","2023-05-02T11:23:46.415Z","Material"
"MATERIAL_11823824_0","1679052226448","MATERIAL_11823824_0","11823824","4","[""23-TAHH-96147-01""]","6","1679052226448","36706","false","2023-05-14T11:23:46.448Z","13362","Green","5","11823824","Materials for 11823824","7","15845","Green","2023-05-14T11:23:46.448Z","Material"
"MATERIAL_11830318_3","1679052226415","MATERIAL_11830318_3","11830318","3","[""23-PI-96160-03""]","5","1679052226415","21476","false","2023-04-28T11:23:46.415Z","36551","Green","4","11830318","Materials for 11830318","6","38310","Green","2023-04-28T11:23:46.415Z","Material"
"MATERIAL_11845653_3","1679052226458","MATERIAL_11845653_3","11845653","3","[""LOR_NORWAY_SYSTEM_021_TT96183""]","3","1679052226458","14043","false","2023-02-22T11:23:46.458Z","22999","Green","4","11845653","Materials for 11845653","4","20486","Green","2023-02-22T11:23:46.458Z","Material"
"MATERIAL_11890602_3","1679052226448","MATERIAL_11890602_3","11890602","3","[""23-PSV-92541""]","5","1679052226448","32260","false","2023-05-19T11:23:46.448Z","38578","Green","4","11890602","Materials for 11890602","6","15243","Green","2023-05-19T11:23:46.448Z","Material"
"MATERIAL_12022762_1","1679052226358","MATERIAL_12022762_1","12022762","2","[""LOR_NORWAY_SYSTEM_011_11-ESDV-10029""]","3","1679052226358","17870","false","2023-05-22T11:23:46.357Z","12757","Green","3","12022762","Materials for 12022762","4","33764","Green","2023-05-22T11:23:46.357Z","Material"
"MATERIAL_122522_5","1679052226327","MATERIAL_122522_5","122522","4","[""LOR_NORWAY_SYSTEM_021_21PT1019""]","2","1679052226327","15938","false","2023-02-24T11:23:46.327Z","22213","Green","5","122522","Materials for 122522","3","36080","Green","2023-02-24T11:23:46.327Z","Material"
"MATERIAL_12266967_0","1679052226373","MATERIAL_12266967_0","12266967","3","[""23-TW-96181-02""]","4","1679052226373","21004","false","2023-05-16T11:23:46.372Z","23638","Green","4","12266967","Materials for 12266967","5","19354","Green","2023-05-16T11:23:46.372Z","Material"
"MATERIAL_12415040_1","1679052226363","MATERIAL_12415040_1","12415040","2","[""48-XI-96964A""]","9","1679052226363","24378","false","2023-03-29T11:23:46.363Z","38590","Green","3","12415040","Materials for 12415040","10","19438","Green","2023-03-29T11:23:46.363Z","Material"
"MATERIAL_12444101_3","1679052226342","MATERIAL_12444101_3","12444101","4","[""23-TAH-96111-01""]","7","1679052226342","25512","false","2023-04-14T11:23:46.342Z","21461","Green","5","12444101","Materials for 12444101","8","20550","Green","2023-04-14T11:23:46.342Z","Material"
"MATERIAL_12532124_3","1679052226405","MATERIAL_12532124_3","12532124","5","[""23-LAHH-92523-02""]","7","1679052226405","19074","false","2023-04-08T11:23:46.405Z","16724","Green","6","12532124","Materials for 12532124","8","11268","Green","2023-04-08T11:23:46.405Z","Material"
"MATERIAL_12564978_1","1679052226424","MATERIAL_12564978_1","12564978","1","[""LOR_NORWAY_SYSTEM_010_10GT1018""]","4","1679052226424","38720","false","2023-04-24T11:23:46.424Z","35343","Green","2","12564978","Materials for 12564978","5","37933","Green","2023-04-24T11:23:46.424Z","Material"
"MATERIAL_12593602_0","1679052226341","MATERIAL_12593602_0","12593602","1","[""23-ESDV-92551B""]","1","1679052226341","27986","false","2023-04-04T11:23:46.341Z","12717","Green","2","12593602","Materials for 12593602","2","22410","Green","2023-04-04T11:23:46.341Z","Material"
"MATERIAL_12700151_0","1679052226370","MATERIAL_12700151_0","12700151","1","[""23-PAH-96149-02""]","4","1679052226370","34083","false","2023-04-25T11:23:46.370Z","39686","Green","2","12700151","Materials for 12700151","5","19203","Green","2023-04-25T11:23:46.370Z","Material"
"MATERIAL_12953244_4","1679052226361","MATERIAL_12953244_4","12953244","2","[""23-HA-9107A""]","6","1679052226361","13236","false","2023-03-09T11:23:46.361Z","25259","Green","3","12953244","Materials for 12953244","7","30062","Green","2023-03-09T11:23:46.361Z","Material"
"MATERIAL_13019134_0","1679052226474","MATERIAL_13019134_0","13019134","1","[""48-PSE-96961""]","7","1679052226474","35319","false","2023-04-11T11:23:46.474Z","19761","Green","2","13019134","Materials for 13019134","8","20825","Green","2023-04-11T11:23:46.474Z","Material"
"MATERIAL_13019134_8","1679052226474","MATERIAL_13019134_8","13019134","4","[""48-PSE-96961""]","","1679052226474","","false","2023-06-11T11:23:46.474Z","","Red","5","13019134","Materials for 13019134","","30349","Orange","2023-06-11T11:23:46.474Z","Material"
"MATERIAL_13042034_4","1679052226407","MATERIAL_13042034_4","13042034","3","[""23-TI-92512""]","5","1679052226407","21905","false","2023-04-17T11:23:46.407Z","29954","Green","4","13042034","Materials for 13042034","6","37386","Green","2023-04-17T11:23:46.407Z","Material"
"MATERIAL_13042034_5","1679052226407","MATERIAL_13042034_5","13042034","5","[""23-TI-92512""]","2","1679052226407","20997","false","2023-04-17T11:23:46.407Z","33053","Green","6","13042034","Materials for 13042034","3","27912","Green","2023-04-17T11:23:46.407Z","Material"
"MATERIAL_13077001_0","1679052226474","MATERIAL_13077001_0","13077001","2","[""23-YAHH-96106-01""]","7","1679052226474","37723","false","2023-04-24T11:23:46.474Z","32425","Green","3","13077001","Materials for 13077001","8","29987","Green","2023-04-24T11:23:46.474Z","Material"
"MATERIAL_13163786_4","1679052226482","MATERIAL_13163786_4","13163786","2","[""LOR_NORWAY_SYSTEM_011_11-ESDV-11095""]","7","1679052226482","16608","false","2023-04-18T11:23:46.482Z","26488","Green","3","13163786","Materials for 13163786","8","15089","Green","2023-04-18T11:23:46.482Z","Material"
"MATERIAL_13209548_1","1679052226369","MATERIAL_13209548_1","13209548","5","[""23-PI-92537""]","6","1679052226369","11930","false","2023-04-11T11:23:46.369Z","18797","Green","6","13209548","Materials for 13209548","7","19735","Green","2023-04-11T11:23:46.369Z","Material"
"MATERIAL_13289343_0","1679052226345","MATERIAL_13289343_0","13289343","3","[""45-TI-92508""]","7","1679052226345","24274","false","2023-05-04T11:23:46.345Z","32749","Green","4","13289343","Materials for 13289343","8","13017","Green","2023-05-04T11:23:46.345Z","Material"
"MATERIAL_13318406_5","1679052226483","MATERIAL_13318406_5","13318406","2","[""23-TE-96103-01""]","7","1679052226483","34284","false","2023-05-06T11:23:46.483Z","36216","Green","3","13318406","Materials for 13318406","8","32237","Green","2023-05-06T11:23:46.483Z","Material"
"MATERIAL_13366545_8","1679052226471","MATERIAL_13366545_8","13366545","2","[""23-PT-92539""]","","1679052226471","","false","2023-05-11T11:23:46.471Z","","Red","3","13366545","Materials for 13366545","","11819","Orange","2023-05-11T11:23:46.471Z","Material"
"MATERIAL_13439475_6","1679052226349","MATERIAL_13439475_6","13439475","2","[""23-ZAHH-96107-01""]","","1679052226349","","false","2023-02-26T11:23:46.348Z","","Orange","3","13439475","Materials for 13439475","","12629","Orange","2023-02-26T11:23:46.348Z","Material"
"MATERIAL_13469009_2","1679052226418","MATERIAL_13469009_2","13469009","3","[""LOR_NORWAY_SYSTEM_021_FO96176-02""]","8","1679052226418","20218","false","2023-02-20T11:23:46.418Z","18388","Green","4","13469009","Materials for 13469009","9","39115","Green","2023-02-20T11:23:46.418Z","Material"
"MATERIAL_13469009_4","1679052226418","MATERIAL_13469009_4","13469009","2","[""LOR_NORWAY_SYSTEM_021_FO96176-02""]","6","1679052226418","30440","false","2023-02-20T11:23:46.418Z","32155","Green","3","13469009","Materials for 13469009","7","21940","Green","2023-02-20T11:23:46.418Z","Material"
"MATERIAL_13592162_5","1679052226345","MATERIAL_13592162_5","13592162","3","[""23-TAH-92504""]","7","1679052226345","31513","false","2023-05-07T11:23:46.345Z","16660","Green","4","13592162","Materials for 13592162","8","11836","Green","2023-05-07T11:23:46.345Z","Material"
"MATERIAL_13602166_5","1679052226418","MATERIAL_13602166_5","13602166","2","[""23-LAHH-92523-02""]","8","1679052226418","36033","false","2023-06-09T11:23:46.418Z","23026","Green","3","13602166","Materials for 13602166","9","26377","Green","2023-06-09T11:23:46.418Z","Material"
"MATERIAL_13738380_0","1679052226372","MATERIAL_13738380_0","13738380","3","[""23-YT-96117-02""]","5","1679052226372","19670","false","2023-05-11T11:23:46.372Z","26131","Green","4","13738380","Materials for 13738380","6","12410","Green","2023-05-11T11:23:46.372Z","Material"
"MATERIAL_13738380_1","1679052226372","MATERIAL_13738380_1","13738380","2","[""23-YT-96117-02""]","7","1679052226372","36055","false","2023-05-11T11:23:46.372Z","39074","Green","3","13738380","Materials for 13738380","8","22642","Green","2023-05-11T11:23:46.372Z","Material"
"MATERIAL_13738380_2","1679052226372","MATERIAL_13738380_2","13738380","4","[""23-YT-96117-02""]","5","1679052226372","21813","false","2023-05-11T11:23:46.372Z","29482","Green","5","13738380","Materials for 13738380","6","27082","Green","2023-05-11T11:23:46.372Z","Material"
"MATERIAL_13740006_2","1679052226489","MATERIAL_13740006_2","13740006","2","[""23-ZI-92538""]","8","1679052226489","24886","false","2023-06-07T11:23:46.489Z","11810","Green","3","13740006","Materials for 13740006","9","35289","Green","2023-06-07T11:23:46.489Z","Material"
"MATERIAL_14046202_5","1679052226341","MATERIAL_14046202_5","14046202","1","[""23-TAH-96114-01""]","8","1679052226341","28067","false","2023-04-06T11:23:46.341Z","29193","Green","2","14046202","Materials for 14046202","9","12722","Green","2023-04-06T11:23:46.341Z","Material"
"MATERIAL_14167704_4","1679052226479","MATERIAL_14167704_4","14167704","1","[""23-HA-9115""]","3","1679052226479","11937","false","2023-03-07T11:23:46.479Z","39814","Green","2","14167704","Materials for 14167704","4","24614","Green","2023-03-07T11:23:46.479Z","Material"
"MATERIAL_14238331_0","1679052226356","MATERIAL_14238331_0","14238331","3","[""23-PT-92537-MB""]","4","1679052226356","34247","false","2023-05-01T11:23:46.356Z","37524","Green","4","14238331","Materials for 14238331","5","27085","Green","2023-05-01T11:23:46.356Z","Material"
"MATERIAL_14385789_6","1679052226391","MATERIAL_14385789_6","14385789","4","[""LOR_NORWAY_SYSTEM_021_212-VD-9365-H02""]","7","1679052226391","35586","false","2023-02-21T11:23:46.391Z","24832","Green","5","14385789","Materials for 14385789","8","16864","Green","2023-02-21T11:23:46.391Z","Material"
"MATERIAL_14422268_2","1679052226464","MATERIAL_14422268_2","14422268","4","[""23-KA-9101-M01-62B""]","4","1679052226464","27160","false","2023-05-06T11:23:46.463Z","32117","Green","5","14422268","Materials for 14422268","5","32449","Green","2023-05-06T11:23:46.463Z","Material"
"MATERIAL_14434406_2","1679052226330","MATERIAL_14434406_2","14434406","3","[""23-PT-96153""]","7","1679052226330","25258","false","2023-03-04T11:23:46.330Z","15098","Green","4","14434406","Materials for 14434406","8","18534","Green","2023-03-04T11:23:46.330Z","Material"
"MATERIAL_14455966_3","1679052226487","MATERIAL_14455966_3","14455966","2","[""45-FI-92139A""]","1","1679052226487","30723","false","2023-05-13T11:23:46.487Z","31517","Green","3","14455966","Materials for 14455966","2","33361","Green","2023-05-13T11:23:46.487Z","Material"
"MATERIAL_14455966_5","1679052226487","MATERIAL_14455966_5","14455966","4","[""45-FI-92139A""]","5","1679052226487","23717","false","2023-05-13T11:23:46.487Z","34274","Green","5","14455966","Materials for 14455966","6","38626","Green","2023-05-13T11:23:46.487Z","Material"
"MATERIAL_14495225_4","1679052226384","MATERIAL_14495225_4","14495225","3","[""23-FVX-92542""]","5","1679052226384","15802","false","2023-03-26T11:23:46.384Z","22858","Green","4","14495225","Materials for 14495225","6","25800","Green","2023-03-26T11:23:46.384Z","Material"
"MATERIAL_14574976_6","1679052226471","MATERIAL_14574976_6","14574976","3","[""23-ZAHH-96121-03""]","","1679052226471","","false","2023-03-09T11:23:46.471Z","","Orange","4","14574976","Materials for 14574976","","17244","Orange","2023-03-09T11:23:46.471Z","Material"
"MATERIAL_14607482_5","1679052226472","MATERIAL_14607482_5","14607482","1","[""23-TE-96137-01""]","3","1679052226472","18156","false","2023-03-17T11:23:46.472Z","30082","Green","2","14607482","Materials for 14607482","4","36621","Green","2023-03-17T11:23:46.472Z","Material"
"MATERIAL_14629441_5","1679052226421","MATERIAL_14629441_5","14629441","4","[""LOR_NORWAY_SYSTEM_011_11-PSV-12053""]","5","1679052226421","32801","false","2023-03-20T11:23:46.421Z","15074","Green","5","14629441","Materials for 14629441","6","36549","Green","2023-03-20T11:23:46.421Z","Material"
"MATERIAL_14638474_1","1679052226424","MATERIAL_14638474_1","14638474","3","[""23-PAL-92532""]","3","1679052226424","14669","false","2023-04-27T11:23:46.424Z","20724","Green","4","14638474","Materials for 14638474","4","22518","Green","2023-04-27T11:23:46.424Z","Material"
"MATERIAL_14674759_6","1679052226390","MATERIAL_14674759_6","14674759","2","[""23-GK-9107A-H01""]","","1679052226390","","false","2023-06-02T11:23:46.390Z","","Orange","3","14674759","Materials for 14674759","","26272","Orange","2023-06-02T11:23:46.390Z","Material"
"MATERIAL_14815782_2","1679052226419","MATERIAL_14815782_2","14815782","3","[""23-PIC-92538-01""]","3","1679052226419","20516","false","2023-02-28T11:23:46.419Z","29086","Green","4","14815782","Materials for 14815782","4","15837","Green","2023-02-28T11:23:46.419Z","Material"
"MATERIAL_14815782_4","1679052226419","MATERIAL_14815782_4","14815782","1","[""23-PIC-92538-01""]","7","1679052226419","24903","false","2023-02-28T11:23:46.419Z","31716","Green","2","14815782","Materials for 14815782","8","26242","Green","2023-02-28T11:23:46.419Z","Material"
"MATERIAL_14963317_4","1679052226392","MATERIAL_14963317_4","14963317","3","[""23-PALL-96141""]","1","1679052226392","24909","false","2023-02-28T11:23:46.392Z","12297","Green","4","14963317","Materials for 14963317","2","10093","Green","2023-02-28T11:23:46.392Z","Material"
"MATERIAL_15062313_0","1679052226350","MATERIAL_15062313_0","15062313","3","[""23-TE-96181-02""]","4","1679052226350","33554","false","2023-03-11T11:23:46.350Z","18248","Green","4","15062313","Materials for 15062313","5","16622","Green","2023-03-11T11:23:46.350Z","Material"
"MATERIAL_15103428_1","1679052226374","MATERIAL_15103428_1","15103428","3","[""45-FI-92139B""]","2","1679052226374","14833","false","2023-02-25T11:23:46.374Z","15979","Green","4","15103428","Materials for 15103428","3","39844","Green","2023-02-25T11:23:46.374Z","Material"
"MATERIAL_15144552_0","1679052226343","MATERIAL_15144552_0","15144552","2","[""23-EPV-92501B""]","5","1679052226343","16196","false","2023-04-19T11:23:46.343Z","23597","Green","3","15144552","Materials for 15144552","6","26051","Green","2023-04-19T11:23:46.343Z","Material"
"MATERIAL_15180428_2","1679052226388","MATERIAL_15180428_2","15180428","1","[""45-HV-92514-03""]","4","1679052226388","18944","false","2023-05-09T11:23:46.388Z","30930","Green","2","15180428","Materials for 15180428","5","18424","Green","2023-05-09T11:23:46.388Z","Material"
"MATERIAL_15304132_3","1679052226483","MATERIAL_15304132_3","15304132","4","[""23-EZSH-92551B""]","4","1679052226483","35278","false","2023-05-02T11:23:46.483Z","25252","Green","5","15304132","Materials for 15304132","5","18047","Green","2023-05-02T11:23:46.483Z","Material"
"MATERIAL_15312262_2","1679052226472","MATERIAL_15312262_2","15312262","3","[""23-TT-92512""]","8","1679052226472","21618","false","2023-03-29T11:23:46.472Z","24857","Green","4","15312262","Materials for 15312262","9","31956","Green","2023-03-29T11:23:46.472Z","Material"
"MATERIAL_15312262_6","1679052226472","MATERIAL_15312262_6","15312262","4","[""23-TT-92512""]","8","1679052226472","15259","false","2023-03-29T11:23:46.472Z","19910","Green","5","15312262","Materials for 15312262","9","11863","Green","2023-03-29T11:23:46.472Z","Material"
"MATERIAL_15479621_3","1679052226349","MATERIAL_15479621_3","15479621","1","[""23-TAH-96111-01""]","1","1679052226349","18269","false","2023-03-01T11:23:46.349Z","17734","Green","2","15479621","Materials for 15479621","2","30062","Green","2023-03-01T11:23:46.349Z","Material"
"MATERIAL_15518654_0","1679052226372","MATERIAL_15518654_0","15518654","4","[""23-LALL-96182-01""]","5","1679052226372","26103","false","2023-05-06T11:23:46.372Z","31326","Green","5","15518654","Materials for 15518654","6","20872","Green","2023-05-06T11:23:46.372Z","Material"
"MATERIAL_15627043_5","1679052226388","MATERIAL_15627043_5","15627043","5","[""23-PIC-92538-05""]","3","1679052226388","11727","false","2023-05-05T11:23:46.388Z","25810","Green","6","15627043","Materials for 15627043","4","39499","Green","2023-05-05T11:23:46.388Z","Material"
"MATERIAL_15997174_0","1679052226363","MATERIAL_15997174_0","15997174","4","[""23-XA-92543-08""]","3","1679052226363","23369","false","2023-04-02T11:23:46.363Z","23113","Green","5","15997174","Materials for 15997174","4","29174","Green","2023-04-02T11:23:46.363Z","Material"
"MATERIAL_16016663_1","1679052226447","MATERIAL_16016663_1","16016663","3","[""23-TAH-96104-03""]","6","1679052226447","28890","false","2023-05-08T11:23:46.447Z","28070","Green","4","16016663","Materials for 16016663","7","32666","Green","2023-05-08T11:23:46.447Z","Material"
"MATERIAL_16345951_4","1679052226421","MATERIAL_16345951_4","16345951","1","[""23-YAH-96119-01""]","8","1679052226421","33863","false","2023-03-20T11:23:46.421Z","30753","Green","2","16345951","Materials for 16345951","9","25998","Green","2023-03-20T11:23:46.421Z","Material"
"MATERIAL_16456178_1","1679052226489","MATERIAL_16456178_1","16456178","3","[""23-TI-96114-01""]","7","1679052226489","38538","false","2023-06-05T11:23:46.489Z","22507","Green","4","16456178","Materials for 16456178","8","13164","Green","2023-06-05T11:23:46.489Z","Material"
"MATERIAL_16615942_5","1679052226426","MATERIAL_16615942_5","16615942","5","[""23-PT-92539""]","4","1679052226426","32817","false","2023-05-20T11:23:46.426Z","16298","Green","6","16615942","Materials for 16615942","5","14547","Green","2023-05-20T11:23:46.426Z","Material"
"MATERIAL_16615942_7","1679052226426","MATERIAL_16615942_7","16615942","5","[""23-PT-92539""]","5","1679052226426","36658","false","2023-05-20T11:23:46.426Z","28684","Green","6","16615942","Materials for 16615942","6","20330","Green","2023-05-20T11:23:46.426Z","Material"
"MATERIAL_16643554_0","1679052226414","MATERIAL_16643554_0","16643554","4","[""23-KA-9101-M01-36A""]","4","1679052226414","24079","false","2023-04-20T11:23:46.414Z","38640","Green","5","16643554","Materials for 16643554","5","23462","Green","2023-04-20T11:23:46.414Z","Material"
"MATERIAL_16711501_0","1679052226374","MATERIAL_16711501_0","16711501","3","[""LOR_NORWAY_SYSTEM_021_LT96182-03""]","3","1679052226374","35545","false","2023-02-21T11:23:46.374Z","38717","Green","4","16711501","Materials for 16711501","4","32523","Green","2023-02-21T11:23:46.374Z","Material"
"MATERIAL_16711501_2","1679052226374","MATERIAL_16711501_2","16711501","2","[""LOR_NORWAY_SYSTEM_021_LT96182-03""]","5","1679052226374","31452","false","2023-02-21T11:23:46.374Z","27929","Green","3","16711501","Materials for 16711501","6","22634","Green","2023-02-21T11:23:46.374Z","Material"
"MATERIAL_16711501_5","1679052226374","MATERIAL_16711501_5","16711501","2","[""LOR_NORWAY_SYSTEM_021_LT96182-03""]","2","1679052226374","39150","false","2023-02-21T11:23:46.374Z","16260","Green","3","16711501","Materials for 16711501","3","15669","Green","2023-02-21T11:23:46.374Z","Material"
"MATERIAL_16755785_2","1679052226444","MATERIAL_16755785_2","16755785","4","[""23-TI-96137-02""]","6","1679052226444","27308","false","2023-03-30T11:23:46.444Z","35806","Green","5","16755785","Materials for 16755785","7","36681","Green","2023-03-30T11:23:46.444Z","Material"
"MATERIAL_16755785_7","1679052226444","MATERIAL_16755785_7","16755785","5","[""23-TI-96137-02""]","","1679052226444","","false","2023-05-30T11:23:46.444Z","","Red","6","16755785","Materials for 16755785","","36089","Orange","2023-05-30T11:23:46.444Z","Material"
"MATERIAL_16869076_3","1679052226444","MATERIAL_16869076_3","16869076","3","[""23-PSLL-96141""]","2","1679052226444","26783","false","2023-04-07T11:23:46.444Z","21106","Green","4","16869076","Materials for 16869076","3","11031","Green","2023-04-07T11:23:46.444Z","Material"
