"key","startTime","WorkOperationCompletedByUserName","isClosed","Workcenter","WorkOperationHours","isDeleted","WorkOperationNumber","type","WorkOperationActualHours","isWOClosed","externalId","WorkOperationCompletedDateTime","description","Number","WorkOperationRemainingHours","assetExternalIds","WorkOperationCompletedByUserID","Work","endTime","WorkOperationName","WorkOperationID","Class","Order"
"WO_12953244_operation_2","1680780226361","","false","MECH","20","false","0002","operation","14","false","WO_12953244_operation_2","","General ESDV maintenance","2","4","[""23-HA-9107A""]","","24","1680866626361","Instrumentation PIPE shutdown","12953244-0002","Pre","12953244"
"WO_13141596_operation_0","1684236226407","","false","TECH","19","false","0000","operation","28","false","WO_13141596_operation_0","","Instrumentation ESV failure","2","5","[""23-YVX-92545""]","","21","1684322626407","Required:  PIPE turn off","13141596-0000","Exe","13141596"
"WO_13163786_operation_0","1684063426482","","false","ELEC","32","false","0000","operation","38","false","WO_13163786_operation_0","","Instrumentation BDSV survey","1","5","[""LOR_NORWAY_SYSTEM_011_11-ESDV-11095""]","","20","1684149826482","Initial VALVE turn off","13163786-0000","Exe","13163786"
"WO_13424894_operation_0","1685359426415","","false","SUPV","23","false","0000","operation","27","false","WO_13424894_operation_0","","Instrumentation ESV shutdown","3","9","[""23-KA-9101-M01-24""]","","7","1685445826415","Initial ESDV turn off","13424894-0000","Exe","13424894"
"WO_13455805_operation_1","1680175426458","","false","TECH","15","false","0001","operation","38","false","WO_13455805_operation_1","","Instrumentation ESV safety check","2","7","[""LOR_NORWAY_SYSTEM_011_11-BDSV-11001""]","","18","1680261826458","General VALVE check","13455805-0001","Post","13455805"
"WO_13512879_operation_1","1686569026389","","false","SUPV","39","false","0001","operation","30","false","WO_13512879_operation_1","","General Fire extinguisher shutdown","2","7","[""LOR_NORWAY_SYSTEM_010_10GT1017""]","","5","1686655426389","Initial PSV maintenance","13512879-0001","Pre","13512879"
"WO_13592162_operation_1","1685877826345","","false","INST","35","false","0001","operation","19","false","WO_13592162_operation_1","","Initial PIPE survey","2","18","[""23-TAH-92504""]","","21","1685964226345","Initial VALVE survey","13592162-0001","Pre","13592162"
"WO_13637432_operation_1","1684841026355","","false","SUPV","18","false","0001","operation","14","false","WO_13637432_operation_1","","Initial PIPE failure","2","2","[""23-PAHH-96149-01""]","","6","1684927426355","General Fire extinguisher survey","13637432-0001","Exe","13637432"
"WO_13666012_operation_1","1680434626459","","false","SUPV","6","false","0001","operation","35","false","WO_13666012_operation_1","","Instrumentation VALVE safety check","2","10","[""45-FI-92139B""]","","4","1680521026459","Required:  BDSV turn off","13666012-0001","Post","13666012"
"WO_13747625_operation_0","1679397826428","","false","SUPV","20","false","0000","operation","30","false","WO_13747625_operation_0","","Required:  PSV check","2","10","[""LOR_NORWAY_SYSTEM_021_PSV96189""]","","11","1679484226428","Initial ESDV failure","13747625-0000","Exe","13747625"
"WO_14134714_operation_1","1685273026463","","false","SUPV","19","false","0001","operation","37","false","WO_14134714_operation_1","","Required:  ESDV shutdown","1","13","[""23-PDAHH-92530""]","","18","1685359426463","Instrumentation PIPE inspection","14134714-0001","Post","14134714"
"WO_14167704_operation_3","1680607426479","","false","ELEC","36","false","0003","operation","12","false","WO_14167704_operation_3","","Instrumentation PSV check","2","5","[""23-HA-9115""]","","6","1680693826479","Leaking Fire extinguisher survey","14167704-0003","Exe","14167704"
"WO_14656529_operation_0","1681298626351","","false","ELEC","10","false","0000","operation","5","false","WO_14656529_operation_0","","Initial PSV inspection","2","14","[""23-TAH-92604A""]","","10","1681385026351","Leaking ESV inspection","14656529-0000","Post","14656529"
"WO_14765168_operation_2","1683890626407","","false","ELEC","10","false","0002","operation","11","false","WO_14765168_operation_2","","Leaking PIPE test","1","1","[""23-PT-92539""]","","17","1683977026407","Instrumentation ESV maintenance","14765168-0002","Post","14765168"
"WO_15103428_operation_1","1679484226374","","false","SUPV","36","false","0001","operation","23","false","WO_15103428_operation_1","","Initial ESV turn off","3","8","[""45-FI-92139B""]","","6","1679570626374","Initial PIPE test","15103428-0001","Post","15103428"
"WO_15144552_operation_0","1684236226343","","false","WELD","24","false","0000","operation","22","false","WO_15144552_operation_0","","General VALVE performance check","3","12","[""23-EPV-92501B""]","","12","1684322626343","Leaking ESV maintenance","15144552-0000","Exe","15144552"
"WO_15312262_operation_1","1682421826472","","false","INST","21","false","0001","operation","32","false","WO_15312262_operation_1","","Instrumentation BDSV survey","1","8","[""23-TT-92512""]","","17","1682508226472","Required:  VALVE performance check","15312262-0001","Exe","15312262"
"WO_15997174_operation_1","1682681026363","","false","SUPV","3","false","0001","operation","26","false","WO_15997174_operation_1","","Leaking Fire extinguisher inspection","2","13","[""23-XA-92543-08""]","","5","1682767426363","Required:  Fire extinguisher shutdown","15997174-0001","Post","15997174"
"WO_16132071_operation_3","1681212226443","","false","ELEC","11","false","0003","operation","15","false","WO_16132071_operation_3","","Leaking BDSV turn off","2","9","[""23-2ND_STAGE_COMP_DRY_GAS_SEAL_SYS-PH""]","","10","1681298626443","Required:  PSV turn off","16132071-0003","Exe","16132071"
"WO_16345951_operation_2","1681644226421","","false","INST","15","false","0002","operation","17","false","WO_16345951_operation_2","","Leaking Fire extinguisher check","2","3","[""23-YAH-96119-01""]","","20","1681730626421","Leaking ESV survey","16345951-0002","Post","16345951"
"WO_16463817_operation_0","1684754626355","","false","SUPV","17","false","0000","operation","15","false","WO_16463817_operation_0","","Instrumentation ESV shutdown","2","16","[""23-TAH-96114-01""]","","9","1684841026355","Instrumentation BDSV turn off","16463817-0000","Pre","16463817"
"WO_16463817_operation_2","1684754626355","","false","WELD","6","false","0002","operation","11","false","WO_16463817_operation_2","","Required:  PIPE survey","2","10","[""23-TAH-96114-01""]","","20","1684841026355","Initial ESDV inspection","16463817-0002","Exe","16463817"
"WO_16615942_operation_2","1687087426426","","false","TECH","21","false","0002","operation","2","false","WO_16615942_operation_2","","Leaking VALVE maintenance","3","15","[""23-PT-92539""]","","7","1687173826426","Initial PSV maintenance","16615942-0002","Pre","16615942"
"WO_16616696_operation_1","1680089026458","","false","TECH","28","false","0001","operation","10","false","WO_16616696_operation_1","","Initial PIPE safety check","2","15","[""45-FI-92139B""]","","4","1680175426458","General Fire extinguisher turn off","16616696-0001","Pre","16616696"
"WO_16684769_operation_1","1687778626456","","false","TECH","37","false","0001","operation","32","false","WO_16684769_operation_1","","General VALVE turn off","1","14","[""23-LALL-96182-02""]","","5","1687865026456","Instrumentation VALVE inspection","16684769-0001","Post","16684769"
"WO_16755785_operation_1","1682594626444","","false","TECH","18","false","0001","operation","1","false","WO_16755785_operation_1","","Leaking ESDV inspection","1","14","[""23-TI-96137-02""]","","18","1682681026444","Leaking ESV survey","16755785-0001","Post","16755785"
"WO_16872800_operation_1","1687692226469","","false","SUPV","17","false","0001","operation","26","false","WO_16872800_operation_1","","General BDSV turn off","2","18","[""23-ESDP-92551B""]","","3","1687778626469","General VALVE shutdown","16872800-0001","Exe","16872800"
"WO_17039031_operation_1","1685618626483","","false","ELEC","4","false","0001","operation","18","false","WO_17039031_operation_1","","Required:  VALVE maintenance","2","17","[""23-ESDV-92551A-PST""]","","3","1685705026483","Leaking VALVE test","17039031-0001","Post","17039031"
"WO_17096649_operation_3","1688210626489","","false","INST","37","false","0003","operation","31","false","WO_17096649_operation_3","","Instrumentation ESV check","1","20","[""23-PAHH-92523""]","","1","1688297026489","Initial PSV check","17096649-0003","Pre","17096649"
"WO_17213913_operation_1","1683458626481","","false","WELD","39","false","0001","operation","30","false","WO_17213913_operation_1","","General PIPE maintenance","2","15","[""23-FO-92526""]","","18","1683545026481","General BDSV failure","17213913-0001","Pre","17213913"
"WO_17248747_operation_1","1684495426387","","false","TECH","25","false","0001","operation","29","false","WO_17248747_operation_1","","Instrumentation PIPE performance check","3","7","[""23-EZSH-92501B""]","","22","1684581826387","Leaking Fire extinguisher shutdown","17248747-0001","Pre","17248747"
"WO_17463757_operation_2","1686050626425","","false","TECH","15","false","0002","operation","17","false","WO_17463757_operation_2","","Initial Fire extinguisher inspection","3","20","[""23-TE-96115-02""]","","19","1686137026425","Leaking ESDV check","17463757-0002","Post","17463757"
"WO_17513790_operation_1","1680866626361","","false","INST","11","false","0001","operation","11","false","WO_17513790_operation_1","","Initial ESV turn off","2","17","[""23-PDI-96180""]","","19","1680953026361","General ESV safety check","17513790-0001","Post","17513790"
"WO_17612029_operation_0","1679225026359","","false","MECH","27","false","0000","operation","25","false","WO_17612029_operation_0","","Initial PIPE failure","3","1","[""LOR_NORWAY_SYSTEM_021_PSV96190""]","","4","1679311426359","Instrumentation PIPE inspection","17612029-0000","Pre","17612029"
"WO_17699499_operation_2","1680780226330","","false","ELEC","17","false","0002","operation","38","false","WO_17699499_operation_2","","Leaking PIPE maintenance","1","6","[""23-TE-96113-04""]","","5","1680866626330","Required:  BDSV performance check","17699499-0002","Pre","17699499"
"WO_17767195_operation_0","1682594626340","","false","TECH","25","false","0000","operation","3","false","WO_17767195_operation_0","","Initial ESV failure","2","2","[""23-PIC-92538-04""]","","24","1682681026340","Initial PIPE safety check","17767195-0000","Post","17767195"
"WO_17915207_operation_2","1687605826390","","false","SUPV","12","false","0002","operation","4","false","WO_17915207_operation_2","","Required:  VALVE performance check","3","10","[""45-PSV-92613""]","","16","1687692226390","Initial PIPE performance check","17915207-0002","Exe","17915207"
"WO_18095714_operation_2","1686137026346","","false","INST","31","false","0002","operation","2","false","WO_18095714_operation_2","","General BDSV safety check","3","5","[""23-TE-96183""]","","17","1686223426346","Instrumentation PSV shutdown","18095714-0002","Pre","18095714"
"WO_18330589_operation_2","1680089026478","","false","WELD","30","false","0002","operation","26","false","WO_18330589_operation_2","","Required:  BDSV survey","3","11","[""23-PI-92536""]","","11","1680175426478","Leaking PIPE shutdown","18330589-0002","Post","18330589"
"WO_18368635_operation_0","1681557826480","","false","ELEC","19","false","0000","operation","22","false","WO_18368635_operation_0","","General VALVE safety check","2","15","[""LOR_NORWAY_SYSTEM_011_11-PSV-10029""]","","4","1681644226480","Required:  PIPE performance check","18368635-0000","Pre","18368635"
"WO_18456006_operation_0","1688124226469","","false","INST","37","false","0000","operation","1","false","WO_18456006_operation_0","","Leaking ESV inspection","1","13","[""23-FS-92543-08""]","","19","1688210626469","Required:  PSV test","18456006-0000","Pre","18456006"
"WO_18456006_operation_2","1688124226469","","false","TECH","8","false","0002","operation","22","false","WO_18456006_operation_2","","General PSV failure","2","10","[""23-FS-92543-08""]","","14","1688210626469","Instrumentation VALVE check","18456006-0002","Pre","18456006"
"WO_1882451_operation_0","1681212226471","","false","INST","14","false","0000","operation","36","false","WO_1882451_operation_0","","Leaking PIPE shutdown","3","1","[""23-AE-92527-S3""]","","13","1681298626471","Initial PSV survey","1882451-0000","Pre","1882451"
"WO_18955761_operation_0","1681817026421","","false","TECH","32","false","0000","operation","30","false","WO_18955761_operation_0","","Initial VALVE shutdown","1","16","[""23-LI-92529-03""]","","21","1681903426421","General BDSV failure","18955761-0000","Pre","18955761"
"WO_1899565_operation_0","1679743426434","","false","MECH","12","false","0000","operation","28","false","WO_1899565_operation_0","","Instrumentation PIPE performance check","1","14","[""23-TE-96113-01""]","","15","1679829826434","Initial ESDV failure","1899565-0000","Post","1899565"
"WO_19127073_operation_3","1682162626352","","false","TECH","8","false","0003","operation","12","false","WO_19127073_operation_3","","General ESV shutdown","2","10","[""48-PAL-96961""]","","20","1682249026352","General PSV survey","19127073-0003","Post","19127073"
"WO_19350051_operation_1","1682767426461","","false","INST","20","false","0001","operation","31","false","WO_19350051_operation_1","","Initial ESDV test","1","0","[""23-KA-9101-A01""]","","19","1682853826461","General PIPE shutdown","19350051-0001","Post","19350051"
"WO_19464870_operation_3","1680693826459","","false","SUPV","10","false","0003","operation","38","false","WO_19464870_operation_3","","Required:  PIPE test","1","12","[""23-TAHH-96136-04""]","","1","1680780226459","Required:  VALVE failure","19464870-0003","Pre","19464870"
"WO_19590961_operation_0","1686741826346","","false","SUPV","1","false","0000","operation","34","false","WO_19590961_operation_0","","Instrumentation VALVE performance check","3","20","[""23-FE-9122-39""]","","19","1686828226346","General PIPE check","19590961-0000","Pre","19590961"
"WO_19732944_operation_0","1683199426405","","false","TECH","34","false","0000","operation","39","false","WO_19732944_operation_0","","Required:  VALVE shutdown","1","17","[""LOR_NORWAY_SYSTEM_021_212-VD-9365-H05""]","","18","1683285826405","Leaking PSV test","19732944-0000","Pre","19732944"
"WO_19734745_operation_1","1679311426374","","false","TECH","17","false","0001","operation","35","false","WO_19734745_operation_1","","Instrumentation ESV turn off","2","10","[""LOR_NORWAY_SYSTEM_021_21PI1017""]","","10","1679397826374","Required:  PIPE failure","19734745-0001","Post","19734745"
"WO_20086782_operation_1","1686655426416","","false","ELEC","24","false","0001","operation","36","false","WO_20086782_operation_1","","Leaking ESDV maintenance","1","7","[""60-EN-9011A+80E2""]","","17","1686741826416","Initial ESV turn off","20086782-0001","Pre","20086782"
"WO_20107127_operation_3","1679138626418","","false","MECH","5","false","0003","operation","9","false","WO_20107127_operation_3","","Required:  VALVE check","2","11","[""LOR_NORWAY_SYSTEM_021_212-VD-9365-H03""]","","11","1679225026418","Instrumentation BDSV test","20107127-0003","Pre","20107127"
"WO_20109637_operation_3","1688383426427","","false","ELEC","16","false","0003","operation","17","false","WO_20109637_operation_3","","General PIPE safety check","1","18","[""23-KA-9101-M01-36A""]","","18","1688469826427","General ESV failure","20109637-0003","Post","20109637"
"WO_20116134_operation_0","1680866626479","","false","TECH","21","false","0000","operation","32","false","WO_20116134_operation_0","","Instrumentation BDSV turn off","2","14","[""LOR_NORWAY_SYSTEM_021_PSV96189""]","","3","1680953026479","Instrumentation Fire extinguisher check","20116134-0000","Pre","20116134"
"WO_20149041_operation_0","1683890626342","","false","MECH","28","false","0000","operation","34","false","WO_20149041_operation_0","","General ESDV safety check","2","13","[""23-TE-96111-03""]","","9","1683977026342","Instrumentation ESV performance check","20149041-0000","Exe","20149041"
"WO_20345103_operation_2","1685100226463","","false","WELD","26","false","0002","operation","1","false","WO_20345103_operation_2","","General PIPE inspection","3","5","[""23-KA-9101-M01-62B""]","","12","1685186626463","Leaking Fire extinguisher performance check","20345103-0002","Pre","20345103"
"WO_20360953_operation_0","1686569026372","","false","ELEC","1","false","0000","operation","31","false","WO_20360953_operation_0","","Leaking PIPE performance check","1","18","[""23-EPV-92551B""]","","15","1686655426372","Instrumentation Fire extinguisher turn off","20360953-0000","Exe","20360953"
"WO_20562417_operation_1","1684927426424","","false","ELEC","19","false","0001","operation","2","false","WO_20562417_operation_1","","General Fire extinguisher safety check","2","3","[""23-YSDP-92526""]","","4","1685013826424","Initial PIPE check","20562417-0001","Pre","20562417"
"WO_20683686_operation_3","1682767426364","","false","WELD","31","false","0003","operation","34","false","WO_20683686_operation_3","","Required:  ESDV test","2","19","[""LOR_NORWAY_SYSTEM_010_10PSV2001""]","","9","1682853826364","Instrumentation ESDV test","20683686-0003","Pre","20683686"
"WO_20911320_operation_2","1681817026443","","false","WELD","20","false","0002","operation","10","false","WO_20911320_operation_2","","Initial VALVE turn off","2","18","[""23-XT-96108""]","","14","1681903426443","Initial PSV failure","20911320-0002","Pre","20911320"
"WO_20961882_operation_3","1683717826407","","false","WELD","3","false","0003","operation","19","false","WO_20961882_operation_3","","Instrumentation Fire extinguisher check","1","6","[""23-PAHH-96156-01""]","","20","1683804226407","Required:  ESV test","20961882-0003","Pre","20961882"
"WO_20995589_operation_0","1679829826374","","false","SUPV","5","false","0000","operation","28","false","WO_20995589_operation_0","","Initial VALVE shutdown","2","5","[""23-TE-96136-04""]","","16","1679916226374","Leaking ESV inspection","20995589-0000","Pre","20995589"
"WO_21127492_operation_1","1682681026460","","false","INST","6","false","0001","operation","24","false","WO_21127492_operation_1","","Leaking PIPE safety check","2","9","[""23-PT-92501B-11""]","","3","1682767426460","Required:  VALVE performance check","21127492-0001","Pre","21127492"
"WO_21178091_operation_0","1687519426358","","false","INST","30","false","0000","operation","10","false","WO_21178091_operation_0","","Required:  Fire extinguisher maintenance","1","10","[""23-TI-96103""]","","14","1687605826358","Required:  ESV failure","21178091-0000","Pre","21178091"
"WO_21178091_operation_3","1687519426358","","false","MECH","17","false","0003","operation","17","false","WO_21178091_operation_3","","Leaking Fire extinguisher survey","2","4","[""23-TI-96103""]","","20","1687605826358","Initial PSV maintenance","21178091-0003","Post","21178091"
"WO_21198781_operation_1","1681385026421","","false","ELEC","23","false","0001","operation","16","false","WO_21198781_operation_1","","Leaking ESV shutdown","1","6","[""23-PAL-96186""]","","3","1681471426421","Initial Fire extinguisher safety check","21198781-0001","Pre","21198781"
"WO_21227107_operation_0","1686396226487","","false","INST","15","false","0000","operation","15","false","WO_21227107_operation_0","","Initial PSV test","2","11","[""23-TT-92602""]","","7","1686482626487","Leaking Fire extinguisher inspection","21227107-0000","Pre","21227107"
"WO_21919295_operation_0","1683285826353","","false","INST","7","false","0000","operation","6","false","WO_21919295_operation_0","","General BDSV safety check","2","5","[""23-YAH-96134-01""]","","12","1683372226353","Required:  PSV maintenance","21919295-0000","Post","21919295"
"WO_21919295_operation_1","1683285826353","","false","ELEC","34","false","0001","operation","10","false","WO_21919295_operation_1","","Required:  BDSV performance check","1","2","[""23-YAH-96134-01""]","","14","1683372226353","General BDSV inspection","21919295-0001","Pre","21919295"
"WO_22207610_operation_1","1681730626480","","false","MECH","12","false","0001","operation","24","false","WO_22207610_operation_1","","General BDSV survey","3","12","[""23-PAHH-96150-01""]","","24","1681817026480","General PIPE safety check","22207610-0001","Post","22207610"
"WO_22296697_operation_0","1683026626405","","false","WELD","19","false","0000","operation","11","false","WO_22296697_operation_0","","Leaking VALVE turn off","3","11","[""23-EZSL-92551B""]","","3","1683113026405","Instrumentation PSV shutdown","22296697-0000","Exe","22296697"
"WO_2237986_operation_0","1687433026456","","false","MECH","17","false","0000","operation","32","false","WO_2237986_operation_0","","General PIPE survey","3","0","[""23-KA-9101-M01-37""]","","23","1687519426456","Instrumentation VALVE performance check","2237986-0000","Pre","2237986"
"WO_22857397_operation_1","1681385026362","","false","SUPV","7","false","0001","operation","17","false","WO_22857397_operation_1","","Instrumentation ESDV maintenance","1","5","[""23-PDI-96143""]","","15","1681471426362","Instrumentation BDSV inspection","22857397-0001","Exe","22857397"
"WO_22884882_operation_0","1682853826461","","false","WELD","40","false","0000","operation","39","false","WO_22884882_operation_0","","Initial ESDV check","1","7","[""23-LY-92521A""]","","18","1682940226461","General VALVE maintenance","22884882-0000","Pre","22884882"
"WO_2288641_operation_0","1684322626482","","false","WELD","38","false","0000","operation","25","false","WO_2288641_operation_0","","Required:  Fire extinguisher maintenance","2","1","[""23-TI-96136-07""]","","8","1684409026482","Instrumentation ESV survey","2288641-0000","Exe","2288641"
"WO_23091068_operation_3","1679311426470","","false","WELD","27","false","0003","operation","1","false","WO_23091068_operation_3","","Leaking ESDV test","2","17","[""LOR_NORWAY_SYSTEM_021_FO96188""]","","14","1679397826470","General BDSV check","23091068-0003","Pre","23091068"
"WO_23238423_operation_3","1685445826345","","false","SUPV","37","false","0003","operation","37","false","WO_23238423_operation_3","","Instrumentation ESDV failure","2","11","[""23-HV-96191-01""]","","16","1685532226345","Required:  ESDV failure","23238423-0003","Exe","23238423"
"WO_23305248_operation_0","1681903426334","","false","MECH","27","false","0000","operation","31","false","WO_23305248_operation_0","","Instrumentation PSV inspection","3","3","[""23-TI-96112-01""]","","23","1681989826334","General PSV maintenance","23305248-0000","Pre","23305248"
"WO_23393582_operation_2","1684581826414","","false","WELD","38","false","0002","operation","7","false","WO_23393582_operation_2","","Required:  VALVE check","3","19","[""23-TT-92536""]","","11","1684668226414","Initial PSV failure","23393582-0002","Exe","23393582"
"WO_23408042_operation_1","1683285826422","","false","MECH","22","false","0001","operation","25","false","WO_23408042_operation_1","","Leaking VALVE check","2","6","[""23-FG-96196""]","","2","1683372226422","Initial BDSV survey","23408042-0001","Pre","23408042"
"WO_2348477_operation_1","1684322626386","","false","SUPV","29","false","0001","operation","28","false","WO_2348477_operation_1","","Instrumentation VALVE performance check","1","15","[""23-TE-96136-05""]","","22","1684409026386","Initial VALVE inspection","2348477-0001","Exe","2348477"
"WO_23597700_operation_0","1682076226363","","false","ELEC","29","false","0000","operation","3","false","WO_23597700_operation_0","","Required:  ESV turn off","2","7","[""23-FT-92537-01""]","","12","1682162626363","Leaking VALVE turn off","23597700-0000","Exe","23597700"
"WO_24210980_operation_2","1686050626345","","false","INST","29","false","0002","operation","21","false","WO_24210980_operation_2","","Instrumentation ESV performance check","1","3","[""23-TI-96136-02""]","","8","1686137026345","Leaking ESDV test","24210980-0002","Post","24210980"
"WO_24257952_operation_1","1688469826469","","false","SUPV","29","false","0001","operation","5","false","WO_24257952_operation_1","","Required:  ESDV shutdown","2","6","[""LOR_NORWAY_SYSTEM_021_LT96182-03""]","","4","1688556226469","Leaking Fire extinguisher test","24257952-0001","Pre","24257952"
"WO_24257952_operation_2","1688469826469","","false","TECH","15","false","0002","operation","22","false","WO_24257952_operation_2","","Leaking BDSV maintenance","3","11","[""LOR_NORWAY_SYSTEM_021_LT96182-03""]","","10","1688556226469","Initial VALVE safety check","24257952-0002","Post","24257952"
"WO_24328855_operation_0","1679916226392","","false","TECH","22","false","0000","operation","14","false","WO_24328855_operation_0","","Leaking ESV performance check","3","12","[""23-FG-96101-01""]","","6","1680002626392","Leaking ESV performance check","24328855-0000","Exe","24328855"
"WO_24457881_operation_0","1682249026363","","false","INST","14","false","0000","operation","2","false","WO_24457881_operation_0","","Initial BDSV inspection","2","19","[""23-TI-96147-02""]","","5","1682335426363","Required:  VALVE shutdown","24457881-0000","Pre","24457881"
"WO_24529391_operation_2","1681125826479","","false","TECH","12","false","0002","operation","13","false","WO_24529391_operation_2","","General PSV safety check","2","16","[""23-HS-92551A-05""]","","20","1681212226479","General Fire extinguisher check","24529391-0002","Pre","24529391"
"WO_24555704_operation_1","1679570626359","","false","WELD","12","false","0001","operation","27","false","WO_24555704_operation_1","","General ESV maintenance","1","9","[""45-TT-92506""]","","13","1679657026359","Instrumentation PIPE check","24555704-0001","Exe","24555704"
"WO_24736647_operation_1","1681557826393","","false","ELEC","17","false","0001","operation","15","false","WO_24736647_operation_1","","Leaking PIPE check","1","9","[""23-XY-92748-04""]","","2","1681644226393","Leaking Fire extinguisher check","24736647-0001","Post","24736647"
